"win","is_home","runs_scored","runs_allowed","run_diff","early_runs","middle_runs","late_runs","scored_first","led_after_3","led_after_6","AB","H","BB","SO","double","triple","HR","extra_base_hits","power_score","run_per_hit","offense_pressure_score","innings_pitched","hits_allowed","bb_allowed","hr_allowed","so_pitched","whip_like","strikeout_walk_ratio","run_prevention_score"
"win","away",12,0,12,7,1,4,"yes","yes","yes",45,15,5,10,4,0,0,4,4,0.8,16,9,3,2,0,8,0.555555555555556,4,6
"win","home",4,3,1,3,0,1,"yes","yes","yes",29,8,5,4,1,1,1,3,6,0.5,10,9,9,5,0,6,1.55555555555556,1.2,-2
"loss","away",3,4,-1,0,2,1,"no","no","no",31,9,5,6,1,0,0,1,1,0.333333333333333,6,8,8,5,1,4,1.625,0.8,-6
"win","away",3,2,1,2,1,0,"yes","yes","yes",35,10,0,4,1,0,2,3,7,0.3,4,9,7,5,0,6,1.33333333333333,1.2,-1
"loss","home",2,3,-1,0,1,1,"no","no","no",32,7,5,6,0,0,0,0,0,0.285714285714286,4,9,10,0,2,4,1.11111111111111,4,-1
"win","home",3,2,1,0,1,2,"yes","no","no",32,7,1,11,0,1,0,1,2,0.428571428571429,-0.5,9,5,3,0,7,0.888888888888889,2.33333333333333,2
"loss","away",2,3,-1,0,1,1,"no","no","no",31,5,3,7,2,0,0,2,2,0.4,3.5,8,7,1,0,11,1,11,7
"win","away",5,3,2,1,0,4,"no","no","no",33,7,6,5,0,0,0,0,0,0.714285714285714,8.5,9,8,1,1,7,1,7,2
"loss","home",3,5,-2,3,0,0,"no","yes","yes",34,8,1,7,0,1,1,2,5,0.375,2.5,9,7,6,0,5,1.44444444444444,0.833333333333333,-6
"loss","away",3,5,-2,0,3,0,"no","no","no",33,7,6,9,0,1,1,2,5,0.428571428571429,6.5,8,8,3,1,8,1.375,2.66666666666667,-1
"win","home",5,3,2,2,1,2,"yes","yes","no",30,8,3,8,0,1,1,2,5,0.625,6,9,7,6,1,9,1.44444444444444,1.5,-1
"win","home",5,2,3,1,1,3,"yes","yes","yes",28,6,4,4,1,0,2,3,7,0.833333333333333,10,9,7,3,1,10,1.11111111111111,3.33333333333333,4
"loss","away",2,5,-3,0,1,1,"no","no","no",34,7,3,10,2,0,1,3,5,0.285714285714286,3,8,6,4,2,4,1.25,1,-7
"loss","home",2,3,-1,1,1,0,"no","no","yes",29,5,6,6,1,0,0,1,1,0.4,6,9,7,2,0,5,1,2.5,0
"win","away",3,2,1,1,0,2,"yes","no","no",33,7,2,5,1,1,0,2,3,0.428571428571429,4.5,9,5,6,0,6,1.22222222222222,1,-2
"loss","away",5,6,-1,4,0,0,"yes","yes","yes",34,9,2,8,1,0,1,2,4,0.555555555555556,5,9,10,4,2,8,1.55555555555556,2,-4
"win","home",6,5,1,1,1,2,"no","no","no",37,10,4,8,1,0,2,3,7,0.6,9,10,9,2,1,8,1.1,4,0
"win","home",9,3,6,3,4,2,"no","yes","yes",35,12,5,3,4,0,3,7,13,0.75,19.5,9,8,4,0,7,1.33333333333333,1.75,0
"loss","away",3,9,-6,1,1,1,"no","no","no",34,8,4,7,1,2,0,3,5,0.375,6.5,8,12,5,3,3,2.125,0.6,-14
"win","home",5,2,3,0,5,0,"yes","no","yes",30,8,7,6,1,0,1,2,4,0.625,11,9,5,1,0,7,0.666666666666667,7,4
"loss","away",2,5,-3,0,0,2,"no","no","no",31,5,1,7,0,0,0,0,0,0.4,-0.5,8,8,7,1,6,1.875,0.857142857142857,-7
"loss","home",3,4,-1,0,3,0,"no","no","no",34,9,3,6,3,0,1,4,6,0.333333333333333,7,9,4,5,1,14,1,2.8,4
"win","away",4,3,1,1,3,0,"yes","yes","yes",30,4,5,14,1,0,1,2,4,1,4,9,9,3,1,6,1.33333333333333,2,-1
"win","away",9,6,3,1,3,5,"yes","yes","no",40,11,7,6,0,0,1,1,3,0.818181818181818,14,9,11,1,0,8,1.33333333333333,8,1
"loss","home",6,9,-3,0,6,0,"no","no","yes",34,11,1,8,3,0,0,3,3,0.545454545454545,6,9,11,7,1,6,2,0.857142857142857,-11
"loss","home",2,5,-3,0,0,2,"no","no","no",31,5,1,2,4,1,0,5,6,0.4,7,9,8,3,2,10,1.22222222222222,3.33333333333333,0
"win","away",5,2,3,3,0,2,"yes","yes","yes",34,8,3,10,1,1,2,4,9,0.625,7,9,5,1,0,2,0.666666666666667,2,-1
"win","home",6,2,4,0,1,5,"no","no","no",36,14,2,12,4,0,0,4,4,0.428571428571429,6,9,6,2,1,8,0.888888888888889,4,3
"loss","away",2,6,-4,2,0,0,"yes","yes","yes",32,6,2,8,1,0,1,2,4,0.333333333333333,2,8,14,2,0,12,2,6,4
"win","away",8,3,5,3,1,4,"yes","yes","yes",33,12,3,7,2,0,4,6,14,0.666666666666667,13.5,9,10,4,0,5,1.55555555555556,1.25,-2
"loss","home",3,8,-5,2,1,0,"no","no","no",35,10,4,5,2,0,0,2,2,0.3,6.5,9,12,3,4,7,1.66666666666667,2.33333333333333,-8
"win","home",8,0,8,7,0,1,"yes","yes","yes",36,12,3,3,2,0,0,2,2,0.666666666666667,11.5,9,2,4,0,4,0.666666666666667,1,0
"loss","away",0,8,-8,0,0,0,"no","no","no",26,2,4,4,0,0,0,0,0,0,2,8,12,3,0,3,1.875,1,-8
"loss","home",2,11,-9,0,2,0,"no","no","no",33,8,3,8,1,1,0,2,3,0.25,3,9,9,6,1,2,1.66666666666667,0.333333333333333,-16
"win","away",11,2,9,5,6,0,"yes","yes","yes",33,9,6,2,1,1,1,3,6,1.22222222222222,19,9,8,3,0,8,1.22222222222222,2.66666666666667,3
"win","away",8,6,2,3,4,1,"yes","yes","yes",30,10,8,2,1,0,1,2,4,0.8,17,9,14,6,0,6,2.22222222222222,1,-6
"loss","home",6,8,-2,2,0,4,"no","no","no",39,14,6,6,5,0,0,5,5,0.428571428571429,14,9,10,8,1,2,2,0.25,-15
"win","away",9,2,7,2,1,6,"yes","yes","yes",37,12,4,4,3,0,1,4,6,0.75,15,9,8,3,0,3,1.22222222222222,1,-2
"loss","home",2,9,-7,0,0,2,"no","no","no",31,8,3,3,2,0,0,2,2,0.25,5.5,9,12,4,1,4,1.77777777777778,1,-10
"win","home",5,2,3,4,0,1,"yes","yes","yes",36,12,1,6,3,0,2,5,9,0.416666666666667,8,9,6,2,0,4,0.888888888888889,2,0
"loss","away",2,5,-3,0,2,0,"no","no","no",31,6,2,4,2,0,0,2,2,0.333333333333333,4,8,12,1,2,6,1.625,6,-2
"win","home",9,2,7,1,3,5,"yes","yes","yes",31,11,4,2,2,0,1,3,5,0.818181818181818,15,9,8,7,0,6,1.66666666666667,0.857142857142857,-3
"loss","away",2,9,-7,0,2,0,"no","no","no",33,8,7,6,0,0,0,0,0,0.25,6,8,11,4,1,2,1.875,0.5,-12
